id,video,question,options,gold,C0_pred (video),C0_ok,C1_pred (note),C1_ok,C2_pred (v+n),C2_ok,C4_pred (v+ASR),C4_ok,disagreement_type,note_text (first 280 chars)
61625_clip_20_materials,clip_20,What material appears in the researcher's work in this video clip?,A:follicular fluid | B:collagenase solution | C:oocyte | D:ovarian tissue surrounding the follicle,D,D,✓,D,✓,D,✓,D,✓,all_agree_correct,"```json {   ""materials_visible"": [""tissue sample"", ""scalpel"", ""forceps""],   ""labels_seen"": [],   ""container_descriptions"": [],   ""substance_appearance"": [""brownish tissue sample, solid, fibrous""] } ```"
61625_clip_24_materials,clip_24,What material appears in the researcher's work in this video clip?,A:MEM-alpha with heparin | B:M199D cilostamide | C:IBMX in TCM-199 | D:DMEM/F12,B,A,✗,D,✗,A,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Microscope slide"",     ""Petri dish"",     ""Microscope"",     ""Centrifuge""   ],   ""labels_seen"": [     ""Leica"",     ""38.5"",     ""37.9""   ],   ""container_descriptions"": [     {       ""shape"": ""flat"",       ""color"": ""clear"",       ""size"": ""small..."
61625_clip_26_materials,clip_26,Which material appears in this experimental step?,A:blastomere | B:oocyte excluding zona pellucida | C:cumulus-oocyte complex | D:hyaluronidase,B,B,✓,D,✗,B,✓,B,✓,note_only_wrong (compression lost info),"```json {   ""materials_visible"": [     ""Microscope slide"",     ""Microscope objective lenses""   ],   ""labels_seen"": [     ""Nikon""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""clear"",       ""size"": ""small""     },     {       ""shape"": ""cylin..."
54661_clip_32_materials,clip_32,Which material appears in this experimental step?,A:helium atmosphere | B:nitrogen atmosphere | C:argon atmosphere | D:neon atmosphere,C,B,✗,B,✗,C,✓,C,✓,note_aug_helps (C2 lifts over C0),"```json {   ""materials_visible"": [     ""NETZSCH""   ],   ""labels_seen"": [     ""NETZSCH"",     ""www.netzsch-thermal-analysis.com""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""green"",       ""size"": ""large""     }   ],   ""substance_appearance"":..."
54661_clip_7_materials,clip_7,Which material appears in this experimental step?,A:iodine dioxide | B:periodic acid | C:iodine pentoxide | D:di-iodine pentoxide,D,B,✗,A,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""HCl""   ],   ""labels_seen"": [     ""HCl"",     ""See text protocol for more info""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""gallon""     },     {       ""shape"": ""cylindrical"",  ..."
54661_clip_14_materials,clip_14,What material appears in the researcher's work in this video clip?,A:aqueous iodate solution | B:potassium permanganate solution | C:sodium iodide solution | D:hydrogen peroxide solution,A,A,✓,B,✗,A,✓,A,✓,note_only_wrong (compression lost info),"```json {   ""materials_visible"": [     ""Unknown sample""   ],   ""labels_seen"": [     ""IKAMAG RET-G5"",     ""200"",     ""183""   ],   ""container_descriptions"": [     {       ""shape"": ""circular"",       ""color"": ""white"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {..."
57379_clip_35_materials,clip_35,Which material appears in this experimental step?,A:cell pellets | B:lysis buffer | C:control samples | D:input samples,D,A,✗,B,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Test tubes"",     ""Pipette tip"",     ""Ice cubes""   ],   ""labels_seen"": [     ""Routier""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""clear"",       ""size"": ""small""     },     {       ""shape"": ""cylindri..."
57379_clip_17_materials,clip_17,What material appears in this procedure?,A:tissue | B:cells | C:cell monolayer | D:cell aggregates,A,B,✗,D,✗,B,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Sorenson TopFill 1000""   ],   ""labels_seen"": [     ""Sorenson TopFill 1000"",     ""glucose 4.25 mg""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""yellow"",       ""size"": ""small""     },     {       ""shap..."
57379_clip_33_materials,clip_33,What material appears in the researcher's work in this video clip?,A:ethanol | B:buffer | C:PBS | D:distilled water,B,B,✓,B,✓,B,✓,B,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Tris-HCl Buffer"",     ""K Buffer""   ],   ""labels_seen"": [     ""Tris-HCl Buffer"",     ""K Buffer""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""blue"",       ""size"": ""medium""     },     {       ""shape"": ..."
58314_clip_37_materials,clip_37,What material appears in this procedure?,A:collagen hydrogel | B:Matrigel | C:kidney ECM hydrogel | D:alginate hydrogel,C,B,✗,B,✗,B,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""cell culture media"",     ""neutralizing solution""   ],   ""labels_seen"": [     ""Subtract 10 µL cell culture media from the neutralizing solution volume calculations""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",      ..."
58314_clip_33_materials,clip_33,Which material appears in this experimental step?,A:stop solution | B:neutralizing reagent solution | C:phosphate buffer solution | D:sodium bicarbonate solution,B,C,✗,C,✗,C,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [""solution""],   ""labels_seen"": [""25"", ""10""],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""color"": ""pink"",       ""state"": ""..."
58314_clip_29_materials,clip_29,Which material appears in this experimental step?,A:Sulfuric acid | B:Acetic acid | C:Phosphoric acid | D:0.01 normal hydrochloric acid,D,D,✓,B,✗,A,✗,D,✓,other,"```json {   ""materials_visible"": [     ""Polyethylene glycol (PEG)""   ],   ""labels_seen"": [     ""Store at -4 C""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""square"",       ""c..."
58081_clip_4_materials,clip_4,What material appears in the researcher's work in this video clip?,A:fetal calf serum | B:horse serum | C:10% fetal bovine serum | D:bovine serum albumin,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Bacto Agar"",     ""Bacto Peptone"",     ""Bacto Yeast Extract"",     ""Bacto Glucose"",     ""Bacto Peptone"",     ""Bacto Yeast Extract"",     ""Bacto Glucose"",     ""Bacto Agar"",     ""Bacto Peptone"",     ""Bacto Yeast Extract"",     ""Bacto Glucose"",   ..."
58081_clip_6_materials,clip_6,What material appears in the researcher's work in this video clip?,A:PEI | B:PVP | C:EDTA | D:Lipofectamine,A,A,✓,A,✓,A,✓,A,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""PEI: polyethylenimine""   ],   ""labels_seen"": [     ""PEI: polyethylenimine""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""yellow"",       ""size"": ""medium""     },     {       ""shape"": ""rectangular"",    ..."
58081_clip_7_materials,clip_7,Which material appears in this experimental step?,A:Platinum Retros cells | B:Sf9 insect cells | C:HEK293 cells | D:Platinum Eco cells,D,B,✗,B,✗,B,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Petri dishes"",     ""Bottle with red liquid"",     ""Yellow pipette tip box"",     ""Blue pipette tip box"",     ""Test tubes"",     ""Lab bench""   ],   ""labels_seen"": [     ""200 mL"",     ""jove""   ],   ""container_descriptions"": [     {       ""shape""..."
55098_clip_43_materials,clip_43,What material appears in this procedure?,A:glass beads | B:pellets | C:lyophilized powder | D:silica granules,B,D,✗,C,✗,B,✓,B,✓,note_aug_helps (C2 lifts over C0),"```json {   ""materials_visible"": [     ""Polyvinyl Alcohol (PVA)""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""color"": ""blac..."
55098_clip_34_materials,clip_34,What material appears in this procedure?,A:enameled copper wire | B:orange wire | C:pink wire | D:green wire,B,A,✗,B,✓,B,✓,A,✗,other,"```json {   ""materials_visible"": [     ""scissors"",     ""wires"",     ""soldering iron"",     ""Arduino board""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""circular"",       ""color"": ""white"",       ""size"": ""small""     }   ],   ""substance_a..."
55098_clip_45_materials,clip_45,Which material appears in this experimental step?,A:beads | B:granules | C:pellets | D:food tablets,C,C,✓,B,✗,B,✗,C,✓,other,"```json {   ""materials_visible"": [],   ""labels_seen"": [""F.E.D."", ""T-805""],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""small""     },     {       ""shape"": ""rectangular"",       ""color"": ""black"",       ""size"": ""medium""    ..."
58174_clip_14_materials,clip_14,What material appears in this procedure?,A:Parafilm | B:PTFE tape | C:Silicone sealant | D:Teflon sheet,B,B,✓,A,✗,B,✓,B,✓,note_only_wrong (compression lost info),"```json {   ""materials_visible"": [     ""isopropanol""   ],   ""labels_seen"": [     ""M Plan Achromat"",     ""10x / 0.25 NA"",     ""Use spectral grade isopropanol""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""transparent"",       ""size"": ""small""..."
58174_clip_12_materials,clip_12,Which material appears in this experimental step?,A:alcohol | B:deionized water | C:hydrogen peroxide | D:acetone,A,B,✗,B,✗,B,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Microscope slide"",     ""Glass slide""   ],   ""labels_seen"": [     ""M Plan Achromat 10x / 0.25 NA CC / 0.17 WD""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""transparent"",       ""size"": ""small""     }, ..."
58174_clip_23_materials,clip_23,Which material appears in this experimental step?,A:fiber clip | B:polymer filament | C:carbon nanotube | D:metal wire,A,B,✗,B,✗,B,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""Pulling rate: 0.06 mm/sec""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""silver"",       ""size"": ""medium""     },     {       ""shape"": ""rectangular"",       ""color"": ""black"",       ..."
59449_clip_10_materials,clip_10,Which material appears in this experimental step?,A:freshly prepared chemical inhibitor | B:phosphate buffered saline | C:saline solution | D:dimethyl sulfoxide,A,D,✗,D,✗,D,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""reagent preparation details""   ],   ""labels_seen"": [     ""See text for all reagent preparation details""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""blue"",       ""size"": ""small""     },     {       ""..."
59449_clip_27_materials,clip_27,What material appears in the researcher's work in this video clip?,A:cranial nerve fibers | B:arachnoid mater | C:cerebral blood vessels | D:dura mater,A,D,✗,A,✓,D,✗,A,✓,other,"```json {   ""materials_visible"": [     ""Mouse"",     ""Surgical scalpel"",     ""Gloves""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""transparent"",       ""size"": ""small""     }   ],   ""substance_appearance"": ..."
59449_clip_23_materials,clip_23,What material appears in the researcher's work in this video clip?,A:head | B:brain | C:scalp | D:skull,A,B,✗,D,✗,C,✗,C,✗,all_wrong,"```json {   ""materials_visible"": [     ""scissors"",     ""gloves""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""handheld"",       ""color"": ""blue"",       ""size"": ""medium""     }   ],   ""substance_appearance"": [     {       ""color"": ""brown""..."
58474_clip_18_materials,clip_18,What material appears in the researcher's work in this video clip?,A:collagenase solution | B:dissected cerebral ganglia | C:compound eye fragments | D:dissected optic lobes,D,C,✗,A,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Ethanol"",     ""Ice""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""blue"",       ""size"": ""medium""     },     {       ""shape"": ""circular base with a flat top"",       ""..."
58474_clip_47_materials,clip_47,What material appears in the researcher's work in this video clip?,A:microglia | B:L3 neurons | C:L2 neurons | D:astrocytes,B,A,✗,A,✗,A,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""Specimen"",     ""FITC-A"",     ""PE-Texas Red-A"",     ""Population"",     ""All Events"",     ""Events gated"",     ""FITC singlets"",     ""FITC singles"",     ""P1"",     ""P2""   ],   ""container_descriptions"": [],   ""substance_appear..."
58474_clip_44_materials,clip_44,What material appears in this procedure?,A:pellet | B:colloid | C:suspension | D:supernatant,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""pipette tip"",     ""test tube"",     ""ice""   ],   ""labels_seen"": [     ""Samples are ready for FACS""   ],   ""container_descriptions"": [     {       ""type"": ""pipette tip"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""..."
65412_clip_14_materials,clip_14,Which material appears in this experimental step?,A:Viton O-ring | B:silicone gasket | C:PTFE tape | D:PTFE liner,D,C,✗,D,✓,D,✓,D,✓,note_better_than_video (C1>C0),"```json {   ""materials_visible"": [     ""Test tubes"",     ""Bottle with green liquid"",     ""Beakers"",     ""Glass jars""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     }..."
65412_clip_22_materials,clip_22,What material appears in the researcher's work in this video clip?,A:colloidal gold | B:mica sheets | C:filter paper | D:nano sheets,D,A,✗,A,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""test tube""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""color"": ""green"",   ..."
65412_clip_30_materials,clip_30,What material appears in this procedure?,A:nickel nitrate solution | B:nickel hydroxide powder | C:nickel oxide powder | D:ethanol,B,D,✗,D,✗,D,✗,D,✗,all_wrong,"```json {   ""materials_visible"": [     ""ETHANOL""   ],   ""labels_seen"": [     ""ETHANOL"",     ""ULTRASONIC BATH 2.8L"",     ""Fisher Scientific""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {     ..."
62088_clip_41_materials,clip_41,Which material appears in this experimental step?,A:RNase A | B:Sucrose gradient fractions | C:40S subunit | D:tRNA,C,B,✗,C,✓,C,✓,B,✗,other,"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""Absorbance (254 nm)"",     ""Fractions"",     ""80S"",     ""60S"",     ""40S"",     ""Polysomes""   ],   ""container_descriptions"": [],   ""substance_appearance"": [] } ```"
62088_clip_32_materials,clip_32,Which material appears in this experimental step?,A:60% sucrose chase solution | B:PBS buffer | C:0.9% saline solution | D:50% glycerol solution,A,A,✓,A,✓,A,✓,A,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Test tube""   ],   ""labels_seen"": [     ""Orave""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent blue"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""color"": ""clea..."
62088_clip_20_materials,clip_20,What material appears in this procedure?,A:neurobasal medium | B:HBSS | C:DMEM | D:B27 supplement,A,A,✓,B,✗,A,✓,A,✓,note_only_wrong (compression lost info),"```json {   ""materials_visible"": [     ""test tube"",     ""pipette tip"",     ""ice""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""blue"",       ""size"": ""medium""     },     {       ""shape"": ""cylindrical"",     ..."
61243_clip_17_materials,clip_17,Which material appears in this experimental step?,A:restriction enzymes on ice | B:magnetic beads on ice | C:magnetic nanoparticles on ice | D:agarose beads on ice,B,A,✗,A,✗,A,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Test tubes"",     ""Ice""   ],   ""labels_seen"": [     ""Test buffer"",     ""Tip Master""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""blue"",       ""size"": ""large""     },     {       ""shape"": ""cylindrical""..."
61243_clip_7_materials,clip_7,What material appears in the researcher's work in this video clip?,A:phosphate-buffered saline (PBS) | B:S-basal medium | C:M9 medium | D:fresh M9 buffer,D,A,✗,A,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Tip W""   ],   ""labels_seen"": [     ""Tip W""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""color"": ""blue"",       ""s..."
61243_clip_28_materials,clip_28,Which material appears in this experimental step?,A:total cell lysate | B:primary antibodies | C:immunoprecipitated proteins | D:bovine serum albumin (BSA),C,A,✗,C,✓,A,✗,C,✓,other,"```json {   ""materials_visible"": [     ""Tip Master"",     ""polyacrylamide gel electrophoresis"",     ""western blot details""   ],   ""labels_seen"": [     ""Tip Master"",     ""PAGE: polyacrylamide gel electrophoresis"",     ""See text for western blot details""   ],   ""container_descriptio..."
62417_clip_25_materials,clip_25,What material appears in the researcher's work in this video clip?,A:eggs | B:embryo medium | C:oocytes | D:agarose beads,A,D,✗,D,✗,D,✗,C,✗,all_wrong,"```json {   ""materials_visible"": [     ""Leica microscope"",     ""Eppendorf Pipette""   ],   ""labels_seen"": [     ""Leica"",     ""Eppendorf"",     ""12.9""   ],   ""container_descriptions"": [     {       ""shape"": ""circular dish"",       ""color"": ""transparent"",       ""size"": ""small""     }, ..."
62417_clip_26_materials,clip_26,What material appears in the researcher's work in this video clip?,A:phosphate-buffered saline | B:distilled water | C:Hank's Balanced Salt Solution | D:clean water,D,A,✗,B,✗,B,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""AmScope""   ],   ""labels_seen"": [     ""AmScope""   ],   ""container_descriptions"": [     {       ""shape"": ""Petri dish"",       ""color"": ""transparent"",       ""size"": ""standard laboratory size""     },     {       ""shape"": ""microscope slide"",     ..."
62417_clip_24_materials,clip_24,What material appears in the researcher's work in this video clip?,A:petri dish | B:mouse embryo | C:agar plate | D:egg,D,D,✓,D,✓,D,✓,D,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""egg""   ],   ""labels_seen"": [     ""Repeat for each egg""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""color"": ""c..."
54664_clip_6_materials,clip_6,Which material appears in this experimental step?,A:deionized water | B:tap water | C:distilled water | D:phosphate-buffered saline,A,C,✗,A,✓,A,✓,A,✓,note_better_than_video (C1>C0),"```json {   ""materials_visible"": [     ""Ethanol"",     ""DMSO""   ],   ""labels_seen"": [     ""Ethanol"",     ""DMSO""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""clear"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""co..."
54664_clip_13_materials,clip_13,What material appears in this procedure?,A:cell debris | B:microspheres | C:magnetic beads | D:nanoparticles,B,C,✗,C,✗,C,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Ethanol"",     ""Centrifuge tubes""   ],   ""labels_seen"": [     ""Eppendorf Centrifuge 5417C"",     ""8 min\n7,500 x g""   ],   ""container_descriptions"": [     {       ""shape"": ""Round-bottom flask"",       ""color"": ""Clear glass"",       ""size"": ""Sma..."
54664_clip_21_materials,clip_21,What material appears in this procedure?,A:HBSS | B:assay buffer | C:culture medium | D:assay medium,D,B,✗,B,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Falcon tube"",     ""Eppendorf pipette tip box"",     ""96-well plate""   ],   ""labels_seen"": [     ""Falcon"",     ""Eppendorf"",     ""96 well plate""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent..."
55301_clip_7_materials,clip_7,Which material appears in this experimental step?,A:plantlets | B:seedlings | C:germinated seeds | D:callus tissue,B,B,✓,B,✓,B,✓,B,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""soil"",     ""seedlings""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular tray"",       ""color"": ""black"",       ""size"": ""small""     },     {       ""shape"": ""rectangular tray"",       ""color..."
55301_clip_25_materials,clip_25,What material appears in the researcher's work in this video clip?,A:antibiotic solution | B:sterile saline | C:LB broth | D:inoculum,D,B,✗,C,✗,D,✓,D,✓,note_aug_helps (C2 lifts over C0),"```json {   ""materials_visible"": [     ""Fisher Scientific""   ],   ""labels_seen"": [     ""Fisher Scientific""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""clear"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""color""..."
55301_clip_29_materials,clip_29,Which material appears in this experimental step?,A:cotyledons | B:pre-infiltration whole leaves | C:leaf between the veins 24 to 48 hours after infiltration | D:stem cross-sections,C,C,✓,B,✗,B,✗,C,✓,other,"```json {   ""materials_visible"": [     ""Plant"",     ""Gloves (purple)"",     ""Tape dispenser""   ],   ""labels_seen"": [     ""Size: <22 mm x 40 mm""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""black"",       ""size"": ""<22 mm x 40 mm""     }   ], ..."
60241_clip_28_materials,clip_28,Which material appears in this experimental step?,A:vegetable oil | B:silicone oil | C:mineral oil | D:glycerol,C,C,✓,D,✗,C,✓,C,✓,note_only_wrong (compression lost info),"```json {   ""materials_visible"": [     ""Multi-well plates"",     ""Transfer pipette""   ],   ""labels_seen"": [     ""Eppendorf""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""white"",       ""size"": ""large""     },     {       ""shape"": ""rectangular..."
60241_clip_20_materials,clip_20,What material appears in the researcher's work in this video clip?,A:ovule | B:stamen | C:ovary | D:sepal,C,B,✗,A,✗,B,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""scissors"",     ""gloves (purple)"",     ""sample (unidentified)""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""silver"",       ""size"": ""small""     }   ],   ""substance_a..."
60241_clip_36_materials,clip_36,What material appears in this procedure?,A:gel | B:agar | C:loading dye | D:agarose,A,D,✗,B,✗,A,✓,A,✓,note_aug_helps (C2 lifts over C0),"```json {   ""materials_visible"": [     ""Petri dish"",     ""Sample tube""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Circular with a flat base and a raised edge"",       ""color"": ""Clear"",       ""size"": ""Small""     },     {       ""shape..."
57660_clip_10_materials,clip_10,Which material appears in this experimental step?,A:pressurized argon | B:compressed air | C:pressurized nitrogen | D:liquid nitrogen,C,D,✗,D,✗,D,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Water""   ],   ""labels_seen"": [     ""200 W"",     ""40 kHz"",     ""1000 ml"",     ""1000 ml""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""blue"",       ""size"": ""medium""     },     {       ""shape"": ""rectang..."
57660_clip_29_materials,clip_29,What material appears in this procedure?,A:sodium chloride residue | B:α-cyano-4-hydroxycinnamic acid | C:sample | D:calibration standard,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [""water""],   ""labels_seen"": [""Refer to text protocol for additional details""],   ""container_descriptions"": [     {       ""shape"": ""circular well"",       ""color"": ""transparent"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {    ..."
57660_clip_17_materials,clip_17,What material appears in this procedure?,A:acetonitrile | B:MALDI matrix material | C:dried PBS residue | D:dried sample,D,B,✗,D,✓,B,✗,D,✓,other,"```json {   ""materials_visible"": [     ""Microscope slide"",     ""Water droplet""   ],   ""labels_seen"": [     ""Refer to text protocol for drying times""   ],   ""container_descriptions"": [     {       ""shape"": ""Rectangular"",       ""color"": ""Clear"",       ""size"": ""Standard microscope s..."
56857_clip_51_materials,clip_51,What material appears in the researcher's work in this video clip?,A:acetone-dry ice slurry | B:liquid nitrogen | C:isopentane | D:dry ice,D,A,✗,C,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Microscope slide"",     ""Pen"",     ""Sample (red, possibly blood or tissue)""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Square"",       ""color"": ""Clear"",       ""size"": ""Small""     },     {      ..."
56857_clip_47_materials,clip_47,What material appears in this procedure?,A:dorsal root ganglion | B:tendon | C:spinal dura mater | D:nerve at the proximal end,D,C,✗,A,✗,C,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""hemostat"",     ""scalpel""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""color"": ""re..."
56857_clip_23_materials,clip_23,Which material appears in this experimental step?,A:muscles | B:tendons | C:fascia | D:adipose tissue,A,D,✗,C,✗,D,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Fish""   ],   ""labels_seen"": [     ""ove""   ],   ""container_descriptions"": [     {       ""shape"": ""Rectangular"",       ""color"": ""White"",       ""size"": ""Small""     }   ],   ""substance_appearance"": [     {       ""color"": ""White"",       ""state"":..."
57613_clip_35_materials,clip_35,What material appears in the researcher's work in this video clip?,A:choline chloride-urea deep eutectic solvent | B:ethyl acetate | C:sulfuric acid | D:acidic ionic liquid,D,A,✗,A,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Unknown powder sample""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""silver"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""color"": ""clear..."
57613_clip_11_materials,clip_11,What material appears in this procedure?,A:ion exchange resin | B:HEPES buffer | C:zwitterion | D:sodium chloride,C,A,✗,A,✗,A,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Kontes""   ],   ""labels_seen"": [     ""Kontes""   ],   ""container_descriptions"": [     {       ""shape"": ""conical flask"",       ""color"": ""transparent"",       ""size"": ""medium""     },     {       ""shape"": ""beaker"",       ""color"": ""white"",       ""..."
57613_clip_17_materials,clip_17,What material appears in the researcher's work in this video clip?,A:para-nitroaniline indicator | B:methyl orange indicator | C:picric acid | D:aniline,A,A,✓,B,✗,B,✗,A,✓,other,"```json {   ""materials_visible"": [     ""Acetone"",     ""Ethanol""   ],   ""labels_seen"": [     ""Acetone"",     ""Ethanol""   ],   ""container_descriptions"": [     {       ""shape"": ""Conical flask"",       ""color"": ""Clear"",       ""size"": ""Medium-sized""     },     {       ""shape"": ""Bottle"",..."
63129_clip_34_materials,clip_34,Which material appears in this experimental step?,A:serum | B:phosphate-buffered saline (PBS) | C:whole blood from the abdominal aorta | D:EDTA plasma,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Blood sample"",     ""Centrifuge tubes""   ],   ""labels_seen"": [],   ""container_descriptions"": [     {       ""shape"": ""Cylindrical"",       ""color"": ""Clear"",       ""size"": ""Small""     },     {       ""shape"": ""Circular"",       ""color"": ""White"", ..."
